state_name,county_fips,county_name,votes_gop_2020,votes_dem_2020,total_votes_2020,diff_2020,per_gop_2020,per_dem_2020,per_point_diff_2020,votes_gop_2024,votes_dem_2024,total_votes_2024,diff_2024,per_gop_2024,per_dem_2024,per_point_diff_2024,county_dem_total_2020,county_dem_total_2024,county_total_votes_2020,county_total_votes_2024,county_region,county_dem_percent_2020,county_dem_percent_2024,county_dem_share_2020,county_dem_share_2024,county_change_dem_percent,county_z_score,county_p_value_two_tailed,county_statistically_significant
New York,36087,Rockland County,73186,75802,150369,-2616,0.4867093616370395,0.5041065645179525,-0.017397202880913,83543,65880,149423,17663.0,0.5591040201307697,0.4408959798692303,0.1182080402615393,75802,65880,150369,149423,downstate,50.410656451795255,44.08959798692303,0.5041065645179525,0.4408959798692303,-6.321058464872223,34.661767098675405,0.0,yes
New York,36089,St. Lawrence County,24608,19361,44907,5247,0.5479769300999844,0.4311354577237402,0.1168414723762442,25919,18010,43929,7909.0,0.5900202599649434,0.4099797400350565,0.1800405199298869,19361,18010,44907,43929,upstate,43.11354577237402,40.997974003505654,0.4311354577237402,0.40997974003505655,-2.1155717688683637,6.386039384718092,1.70237157703923e-10,yes
New York,36091,Saratoga County,61305,68471,132655,-7166,0.4621386302815574,0.5161584561456409,-0.0540198258640834,63940,66321,130261,-2381.0,0.4908606566815854,0.5091393433184146,-0.0182786866368291,68471,66321,132655,130261,upstate,51.615845614564094,50.91393433184146,0.5161584561456409,0.5091393433184146,-0.7019112827226337,3.6000824274798773,0.00031811632021239156,yes
New York,36093,Schenectady County,30741,42465,74826,-11724,0.4108331328682543,0.5675166386015557,-0.1566835057333013,31975,39733,71708,-7758.0,0.4459056172254141,0.5540943827745858,-0.1081887655491716,42465,39733,74826,71708,upstate,56.75166386015557,55.40943827745858,0.5675166386015557,0.5540943827745858,-1.3422255826969902,5.175438248805242,2.273766264160315e-07,yes
New York,36095,Schoharie County,9903,5345,15710,4558,0.6303628262253341,0.3402291534054742,0.2901336728198599,10423,5547,15970,4876.0,0.6526612398246713,0.3473387601753287,0.3053224796493425,5345,5547,15710,15970,upstate,34.02291534054742,34.73387601753287,0.3402291534054742,0.3473387601753287,0.7109606769854508,-1.3320439284686707,0.1828457538889684,no
New York,36097,Schuyler County,5621,3903,9766,1718,0.57556829817735,0.3996518533688306,0.1759164448085193,5717,3736,9453,1981.0,0.6047815508304242,0.3952184491695757,0.2095631016608484,3903,3736,9766,9453,upstate,39.96518533688306,39.521844916957576,0.39965185336883063,0.39521844916957577,-0.4433404199254838,0.6278752670745295,0.5300856544224624,no
New York,36099,Seneca County,8329,6914,15630,1415,0.5328854766474728,0.4423544465770953,0.0905310300703774,8379,6610,14989,1769.0,0.5590099406231236,0.4409900593768763,0.1180198812462472,6914,6610,15630,14989,upstate,44.235444657709536,44.099005937687636,0.44235444657709533,0.44099005937687635,-0.13643872002189994,0.24033212311720734,0.8100727939933989,no
New York,36101,Steuben County,29474,15790,46178,13684,0.6382693057300013,0.3419377192602538,0.2963315864697475,29777,15413,45190,14364.0,0.6589289665855278,0.3410710334144722,0.3178579331710556,15790,15413,46178,45190,upstate,34.19377192602538,34.10710334144722,0.3419377192602538,0.3410710334144722,-0.08666858457815607,0.276202342489165,0.7823926581471454,no
New York,36103,Suffolk County,381253,381021,771541,232,0.4941448348175923,0.493844137900643,0.0003006969169492,417549,341812,759361,75737.0,0.5498689029328606,0.4501310970671393,0.0997378058657212,381021,341812,771541,759361,downstate,49.3844137900643,45.013109706713934,0.493844137900643,0.45013109706713933,-4.371304083350367,54.16829350611278,0.0,yes
New York,36105,Sullivan County,18665,15489,34647,3176,0.5387190810171155,0.4470516927872543,0.0916673882298612,20386,14549,34935,5837.0,0.5835408616001145,0.4164591383998855,0.167081723200229,15489,14549,34647,34935,downstate,44.705169278725435,41.64591383998855,0.4470516927872543,0.4164591383998855,-3.0592554387368835,8.146134589890561,4.440892098500626e-16,yes
New York,36107,Tioga County,14791,9634,25044,5157,0.5906005430442421,0.3846829579939307,0.2059175850503114,15038,9437,24475,5601.0,0.6144228804902963,0.3855771195097038,0.2288457609805924,9634,9437,25044,24475,upstate,38.46829579939307,38.55771195097038,0.3846829579939307,0.3855771195097038,0.08941615157731064,-0.20443205123997646,0.8380158857513549,no
New York,36109,Tompkins County,11096,33619,45735,-22523,0.2426150650486498,0.7350825407237346,-0.4924674756750847,11354,34631,45985,-23277.0,0.2469065999782538,0.7530934000217462,-0.5061868000434924,33619,34631,45735,45985,upstate,73.50825407237346,75.30934000217462,0.7350825407237346,0.7530934000217462,1.801085929801161,-6.250158357282643,4.100367823056672e-10,yes
New York,36111,Ulster County,37590,57970,97420,-20380,0.3858550605625128,0.5950523506466845,-0.2091972900841716,39743,57974,97717,-18231.0,0.4067153105396195,0.5932846894603805,-0.1865693789207609,57970,57974,97420,97717,downstate,59.50523506466845,59.32846894603805,0.5950523506466845,0.5932846894603805,-0.17676611863039682,0.7950792619881379,0.4265673970636734,no
New York,36113,Warren County,17699,17642,36131,57,0.4898563560377515,0.4882787633887797,0.0015775926489717,18606,17099,35705,1507.0,0.5211034869065957,0.4788965130934043,0.0422069738131913,17642,17099,36131,35705,upstate,48.82787633887797,47.88965130934043,0.48827876338877974,0.4788965130934043,-0.9382250295375414,2.515960102106094,0.01187086201837384,yes
New York,36115,Washington County,15941,11565,28138,4376,0.5665292487028218,0.4110100220342597,0.1555192266685621,17268,11224,28492,6044.0,0.6060648603116664,0.3939351396883335,0.2121297206233328,11565,11224,28138,28492,upstate,41.10100220342597,39.39351396883335,0.41101002203425974,0.39393513968833355,-1.707488234592617,4.142903838985165,3.429357632045438e-05,yes
New York,36117,Wayne County,26204,17456,44714,8748,0.5860356935188085,0.3903922708771302,0.1956434226416782,27286,17056,44342,10230.0,0.6153533895629426,0.3846466104370574,0.2307067791258852,17456,17056,44714,44342,upstate,39.039227087713016,38.46466104370574,0.3903922708771302,0.3846466104370574,-0.5745660440072768,1.7597152301179422,0.07845610218488241,no
New York,36119,Westchester County,144713,312371,462122,-167658,0.3131489087297294,0.6759492082177434,-0.362800299488014,167795,287434,455229,-119639.0,0.3685947072791935,0.6314052927208065,-0.2628105854416129,312371,287434,462122,455229,downstate,67.59492082177434,63.14052927208065,0.6759492082177434,0.6314052927208065,-4.454391549693689,44.837467759859805,0.0,yes
New York,36121,Wyoming County,13898,5073,19399,8825,0.7164286818908191,0.2615083251714006,0.4549203567194185,14112,4929,19041,9183.0,0.7411375452969907,0.2588624547030093,0.4822750905939814,5073,4929,19399,19041,upstate,26.15083251714006,25.886245470300928,0.2615083251714006,0.2588624547030093,-0.26458704683913226,0.5911556796002008,0.5544161156549743,no
New York,36123,Yates County,6208,4219,10701,1989,0.5801326978787029,0.3942622184842538,0.1858704793944491,6098,4401,10499,1697.0,0.5808172206876845,0.4191827793123154,0.161634441375369,4219,4401,10701,10499,upstate,39.42622184842538,41.91827793123154,0.3942622184842538,0.41918277931231546,2.4920560828061653,-3.6933285110128242,0.00022133779092781136,yes
